task_lang,transfer_lang,accuracy,f1_score
hsb,en,0.62,0.7393593263461685
sr,en,0.5824,0.7897701230022127
ur,en,0.542,0.7882014023386316
vls,en,0.54,0.7186843711843713
lt,en,0.6268,0.8081083825436689
vec,en,0.57,0.7134992784992785
xmf,en,0.34,0.4919184704184702
eo,en,0.5834,0.7585328728942197
fi,en,0.6319,0.8195932069633154
rm,en,0.51,0.672601121101121
bs,en,0.544,0.7837637530598057
sh,en,0.4433,0.7807079842543079
ps,en,0.44,0.5871603119103119
sah,en,0.64,0.7244657477025898
cv,en,0.49,0.7072370505311681
ja,en,0.2265,0.5315025053326448
ang,en,0.45,0.577155838313733
ne,en,0.62,0.8312361994730416
km,en,0.3,0.4630238095238095
da,en,0.7492,0.8636908405491996
id,en,0.4334,0.7941945795819247
an,en,0.708,0.8287291432853352
bat-smg,en,0.33,0.5033503718503717
no,en,0.6529,0.8385902519178448
pt,en,0.7089,0.826507984332489
als,en,0.34,0.6833487754075991
bh,en,0.59,0.7119971139971142
ceb,en,0.59,0.7003030303030303
bar,en,0.69,0.768515873015873
sa,en,0.21,0.4459603174603174
lij,en,0.28,0.5253372738372737
lb,en,0.552,0.7420810074943976
min,en,0.25,0.5990909090909091
sv,en,0.6368,0.8370227502116048
cdo,en,0.24,0.326677198618375
cs,en,0.7039,0.8446378517543688
lmo,en,0.25,0.5386103404679256
bn,en,0.711,0.7760319369828658
te,en,0.468,0.6729690743896627
zh,en,0.3185,0.6141055825108844
ar,en,0.4651,0.7329105657508986
pdc,en,0.38,0.5528990731490732
arz,en,0.49,0.7414812997460055
su,en,0.48,0.7291385281385281
ga,en,0.666,0.8137149894652991
vo,en,0.6,0.6
eml,en,0.35,0.4885851838220258
es,en,0.6525,0.8338475274046561
ko,en,0.3788,0.6411054792163461
war,en,0.67,0.74
eu,en,0.4623,0.7283305577850083
ext,en,0.3,0.4356703296703296
os,en,0.42,0.6897373737373738
map-bms,en,0.43,0.5543909423909423
he,en,0.4117,0.7095571750102323
el,en,0.706,0.8202369093728769
tg,en,0.74,0.8248748473748475
nov,en,0.67,0.7696305916305917
dv,en,0.39,0.5324290154290154
zea,en,0.49,0.7300721500721501
nds,en,0.57,0.7783975207798739
sd,en,0.28,0.5689714174714174
ku,en,0.56,0.7611854256854257
mwl,en,0.41,0.6160424575424576
rw,en,0.56,0.6682492997198881
ig,en,0.47,0.5840454545454545
gd,en,0.47,0.560953823953824
th,en,0.1606,0.349533435232638
af,en,0.612,0.7953184636141293
kn,en,0.58,0.7125714285714285
mi,en,0.31,0.685936507936508
nn,en,0.7,0.8424702959665034
frr,en,0.39,0.4931587301587302
hak,en,0.29,0.3389285714285714
mk,en,0.698,0.8101385255267609
zh-classical,en,0.25,0.4208664355080763
ba,en,0.5,0.7253161838161839
ay,en,0.42,0.4809642857142857
gan,en,0.38,0.5694273504273505
wa,en,0.42,0.5462837977296181
ka,en,0.6074,0.7821045165635878
ta,en,0.475,0.7024128836849425
fiu-vro,en,0.37,0.5767843202549084
sco,en,0.66,0.771436507936508
yi,en,0.36,0.6449275169275168
ms,en,0.593,0.7109149866473394
co,en,0.58,0.6639935064935065
ca,en,0.8084,0.8750457105244259
uk,en,0.6308,0.7724043098954709
mzn,en,0.38,0.6986433566433567
mg,en,0.46,0.7588315018315016
ast,en,0.618,0.8080838415969995
sq,en,0.711,0.8482991001258804
ace,en,0.32,0.5433482073482074
uz,en,0.692,0.8430945397739517
so,en,0.57,0.652064935064935
be-x-old,en,0.598,0.7188340386393792
ln,en,0.32,0.4918568098568099
fr,en,0.7353,0.8341624232716028
pa,en,0.45,0.7167083570024747
am,en,0.37,0.5049350649350649
si,en,0.51,0.6843304473304473
it,en,0.7149,0.8567720825974852
sw,en,0.58,0.6928832172557405
tr,en,0.6798,0.8408575881179364
gl,en,0.7692,0.873846131494924
br,en,0.416,0.5729108567301291
qu,en,0.59,0.67816332790017
ia,en,0.42,0.5957540149908571
sk,en,0.708,0.8374616791885446
de,en,0.676,0.8193237618246905
fy,en,0.719,0.8137781875331411
lt,eo,0.711,0.8456691123187098
ay,eo,0.45,0.4607142857142857
ln,eo,0.48,0.636492784992785
hu,eo,0.6896,0.8356497660492241
sq,eo,0.782,0.8588279379547182
ko,eo,0.461,0.6811593560661904
sw,eo,0.592,0.6760191451135724
or,eo,0.11,0.2976196581196581
gd,eo,0.56,0.6147458619811561
mt,eo,0.65,0.7734126984126984
br,eo,0.596,0.7089925927014162
ceb,eo,0.69,0.763581225791752
pdc,eo,0.38,0.5651071428571429
scn,eo,0.68,0.7886572871572872
ug,eo,0.37,0.4475555555555556
zea,eo,0.58,0.7836858696858697
am,eo,0.42,0.5233766233766233
ml,eo,0.643,0.7824857253857255
el,eo,0.7057,0.8043046950271949
hy,eo,0.616,0.7014844332138449
en,eo,0.5664,0.7669052750122255
te,eo,0.586,0.7232634505845031
fur,eo,0.56,0.6842283549783551
zh-min-nan,eo,0.6,0.6535822510822511
szl,eo,0.55,0.6466349206349206
ja,eo,0.1478,0.5309573116202683
arz,eo,0.58,0.800978243978244
mi,eo,0.33,0.6032698412698413
lb,eo,0.6,0.7708380195999391
my,eo,0.34,0.6727279942279942
lmo,eo,0.48,0.763728496821376
bs,eo,0.648,0.8195477135008096
io,eo,0.71,0.8443265068265068
tg,eo,0.63,0.7847142594247858
ur,eo,0.584,0.7354721722721723
fo,eo,0.63,0.8089455456823879
bo,eo,0.29,0.3215
ar,eo,0.5019,0.7483525526863918
so,eo,0.6,0.6951587301587301
ky,eo,0.55,0.6999949494949494
nap,eo,0.57,0.710935064935065
wuu,eo,0.34,0.5979682539682539
af,eo,0.667,0.8096230688901742
th,eo,0.0058,0.2214336624400711
bh,eo,0.67,0.7692243867243868
co,eo,0.64,0.7138140193140192
fiu-vro,eo,0.53,0.7155372405372404
es,eo,0.7688,0.8632888745172957
vec,eo,0.66,0.767887445887446
ig,eo,0.5,0.5978154068154068
hak,eo,0.35,0.4258051948051947
ro,eo,0.6723,0.8411533527892816
mwl,eo,0.38,0.6049597347097346
csb,eo,0.57,0.7121837051837052
yi,eo,0.48,0.6692916527916529
nl,eo,0.7178,0.8432883608101566
ka,eo,0.6111,0.7886493558058728
kn,eo,0.61,0.7447251082251083
vi,eo,0.565,0.8033131620237347
bg,eo,0.6935,0.8073974074532279
cdo,eo,0.36,0.4338116883116882
ga,eo,0.666,0.8162259877205698
ace,eo,0.33,0.5527972582972582
si,eo,0.61,0.6983131313131312
gn,eo,0.47,0.6180743145743145
sah,eo,0.49,0.604611111111111
hsb,eo,0.75,0.8509047619047618
zh,eo,0.2739,0.6312122242609471
jbo,eo,0.52,0.6153333333333333
vls,eo,0.65,0.800884422594949
als,eo,0.53,0.7510354527653288
sd,eo,0.4,0.7137763347763346
ilo,eo,0.69,0.7534544534412956
rm,eo,0.59,0.7875200910200911
jv,eo,0.63,0.7748167388167388
sl,eo,0.7037,0.818215243487163
li,eo,0.71,0.8013424908424909
fa,eo,0.5451,0.7715139991896648
pms,eo,0.63,0.8096989497430674
simple,eo,0.702,0.8481141980998018
tt,eo,0.647,0.8050098083718826
fr,eo,0.7242,0.8440281032718571
bar,eo,0.71,0.7896233211233212
mr,eo,0.587,0.7618931689225806
mg,eo,0.31,0.7441223776223777
su,eo,0.66,0.7672005772005772
nov,eo,0.69,0.8859783549783552
tr,eo,0.7141,0.8426259592136448
ce,eo,0.36,0.7245944610944609
ms,eo,0.672,0.7894978389687368
sr,eo,0.6255,0.7953643525334315
lij,eo,0.35,0.5152145517880812
vo,eo,0.59,0.59
ta,eo,0.517,0.731401620584438
map-bms,eo,0.52,0.6282857142857143
rw,eo,0.62,0.7117676767676767
sa,eo,0.37,0.5308979646084908
wa,eo,0.46,0.6019198873022402
lv,eo,0.6776,0.7987693690906618
be,eo,0.698,0.8216897656265303
os,eo,0.6,0.7399047619047618
et,eo,0.673,0.8241156917050957
ksh,eo,0.46,0.6642316017316017
nds,eo,0.68,0.8584910031488978
is,eo,0.686,0.8358554362304362
no,eo,0.7248,0.8543173936787327
ang,eo,0.53,0.642697425381636
bn,eo,0.669,0.7644178539468787
cs,eo,0.683,0.8320685633260789
ext,eo,0.4,0.5541686646686647
ia,eo,0.41,0.6661788036524878
diq,eo,0.56,0.6852712842712844
mk,eo,0.631,0.7971787911950451
nn,eo,0.688,0.8093602606543783
zh-yue,eo,0.3587,0.6382629069906701
qu,eo,0.69,0.7229019607843137
id,eo,0.5299,0.8532247774894524
tk,eo,0.61,0.7144545454545457
mn,eo,0.59,0.7480286380286381
yo,eo,0.47,0.5802857142857143
ca,eo,0.7695,0.8657133430544344
gu,eo,0.54,0.706231964715711
frr,eo,0.51,0.6188888888888889
eu,eo,0.6056,0.8066125105467289
sv,eo,0.6824,0.8406558876125593
fy,eo,0.76,0.8572877709923375
pa,eo,0.62,0.7494992784992786
war,eo,0.68,0.7997313797313796
arc,eo,0.17,0.3365714285714285
hi,eo,0.628,0.7624517816548777
min,eo,0.33,0.636545177045177
cy,eo,0.625,0.7638535902436057
it,eo,0.6684,0.8282128348835548
vep,eo,0.53,0.7836663336663336
cv,eo,0.54,0.7443115773115773
mzn,eo,0.47,0.758071928071928
km,eo,0.33,0.5088888888888888
ba,eo,0.56,0.7345174825174826
de,eo,0.6466,0.8072750642279977
gan,eo,0.39,0.6271666666666667
pnb,eo,0.59,0.6761818181818182
be-x-old,eo,0.643,0.7582227402714246
kk,eo,0.609,0.7944583029543555
tl,eo,0.713,0.7904084305615265
sco,eo,0.67,0.779025641025641
eo,eo,0.8888,0.933103009269712
ckb,eo,0.52,0.6906686646686647
zh-classical,eo,0.33,0.5837533824964166
az,eo,0.631,0.8026092611636729
crh,eo,0.51,0.6551803196803198
dv,eo,0.42,0.6050932400932401
gl,eo,0.756,0.8568457897365792
ne,eo,0.57,0.8078779553779554
ru,eo,0.6746,0.7913317891697226
ast,eo,0.649,0.8497774146905727
pt,eo,0.7135,0.835061249637875
hr,eo,0.6724,0.8254092245155945
bat-smg,eo,0.59,0.6853809523809522
la,eo,0.75,0.8559944176738296
cbk-zam,eo,0.33,0.6012618492618492
oc,eo,0.77,0.8271153291153291
uk,eo,0.6994,0.8364361500925974
as,eo,0.59,0.6902380952380952
ku,eo,0.71,0.7912222222222222
he,eo,0.4341,0.707198404511725
fi,eo,0.6627,0.8301132515970441
sk,eo,0.7332,0.8572990910224966
eml,eo,0.46,0.5686916416916417
pl,eo,0.6668,0.8250617186975393
an,eo,0.826,0.877532129085225
da,eo,0.7205,0.852999039489922
xmf,eo,0.63,0.747999666999667
mhr,eo,0.62,0.7352893772893774
uz,eo,0.841,0.8800185187361658
ps,eo,0.5,0.6708008658008658
sh,eo,0.6806,0.8517740453792852
pl,es,0.6063,0.8179521271461597
sa,es,0.32,0.4884554889554888
mi,es,0.22,0.5331199356199355
vo,es,0.59,0.59
th,es,0.1184,0.3226512613753635
lb,es,0.506,0.718422306924242
hr,es,0.6158,0.8076354010428854
sah,es,0.5,0.70105318804003
ca,es,0.7615,0.8800399110220704
ast,es,0.611,0.8301873589946346
ksh,es,0.31,0.5519646464646465
ace,es,0.28,0.5165266955266955
ru,es,0.5815,0.7642659768843129
cy,es,0.447,0.6918131368631368
ba,es,0.48,0.7709362859362859
tt,es,0.546,0.7969722486663663
jbo,es,0.44,0.4933333333333333
ne,es,0.43,0.7167092352092354
sv,es,0.5846,0.8152179531459253
fo,es,0.57,0.7703051948051949
qu,es,0.56,0.6973445182268712
nl,es,0.6724,0.8296411267928837
bh,es,0.5,0.6705102054807938
li,es,0.58,0.7067362637362636
ta,es,0.401,0.6947534135798842
pdc,es,0.36,0.5541852036852037
war,es,0.61,0.7265352425352425
it,es,0.6724,0.8431056230345162
yi,es,0.4,0.6985201465201466
map-bms,es,0.43,0.5787619047619047
oc,es,0.72,0.795880230880231
arz,es,0.49,0.7405072427572427
ilo,es,0.66,0.7357878787878788
is,es,0.588,0.7965521759114639
ky,es,0.34,0.5852619047619048
te,es,0.416,0.6421333744514859
mr,es,0.54,0.7516301612474213
si,es,0.63,0.8342106782106782
da,es,0.6659,0.8363160128768719
ar,es,0.5669,0.7877417164689455
tl,es,0.69,0.7922166612197573
min,es,0.21,0.5652089577089577
ia,es,0.41,0.6150789123157544
uk,es,0.5196,0.7920601252144829
tk,es,0.55,0.6785656565656566
cs,es,0.6222,0.8122536981757493
no,es,0.6531,0.8348439310689312
be,es,0.627,0.7992304823659313
nds,es,0.5,0.7898206179785128
zh,es,0.2516,0.6127751247428183
my,es,0.21,0.5570687417158006
ext,es,0.31,0.437010212010212
gl,es,0.7802,0.879660151057233
scn,es,0.6,0.7763904983904985
uz,es,0.813,0.8842968570645041
sk,es,0.678,0.8467371374214021
sr,es,0.5637,0.8058255700680469
af,es,0.541,0.7386409840589407
als,es,0.42,0.6954401768681955
ka,es,0.5485,0.7766083897853093
rm,es,0.51,0.7006928904428904
ps,es,0.36,0.5717432567432568
hsb,es,0.57,0.7477698412698414
sl,es,0.666,0.8024667790946584
co,es,0.54,0.63962543012543
tg,es,0.47,0.737715452246412
el,es,0.6178,0.7975587375266632
su,es,0.33,0.6525151515151515
cbk-zam,es,0.31,0.5131937996643878
sh,es,0.5307,0.750968510754811
et,es,0.5872,0.7981705586518745
eo,es,0.6809,0.824591779656532
ug,es,0.28,0.4714392829392829
mg,es,0.3,0.6897365967365967
ga,es,0.592,0.7989030202855281
sq,es,0.755,0.8505580495098297
bo,es,0.15,0.2625238095238095
yo,es,0.42,0.533035964035964
simple,es,0.638,0.8153763396648072
eml,es,0.34,0.4949449994449994
gu,es,0.36,0.6391565539723434
ms,es,0.675,0.8049589444267462
tr,es,0.6615,0.8180572771982059
zh-yue,es,0.2565,0.5721574877057927
zh-classical,es,0.16,0.4861883525830893
mzn,es,0.41,0.7246738816738818
fr,es,0.7116,0.8509583012713121
ay,es,0.39,0.4356825396825396
am,es,0.25,0.4894226884226884
la,es,0.683,0.8206841215973568
lv,es,0.6265,0.8135708340567241
ko,es,0.3343,0.6261224045785656
ig,es,0.48,0.5977378177378178
crh,es,0.39,0.6011568986568986
ja,es,0.1811,0.5174089225239844
bn,es,0.641,0.7592160734690147
ro,es,0.6708,0.8281266609714674
wa,es,0.41,0.5429035668493872
id,es,0.4328,0.687218639324212
es,es,0.8103,0.9050038665350818
jv,es,0.55,0.7840921300921302
ku,es,0.63,0.7336031746031745
pa,es,0.51,0.6851488054429231
ce,es,0.25,0.6525369075369076
bs,es,0.547,0.7752960903389696
gd,es,0.52,0.6258051948051948
eu,es,0.5308,0.7789823567634635
cv,es,0.51,0.7217867132867133
be-x-old,es,0.546,0.7255689167471676
mn,es,0.6,0.7342501767238607
vi,es,0.5207,0.7546166261610766
sw,es,0.52,0.6789785975462446
lij,es,0.33,0.4958539173245055
ang,es,0.42,0.5815166529377056
hy,es,0.517,0.6841225516141927
lmo,es,0.35,0.6375583075335397
nov,es,0.63,0.8537803030303031
pt,es,0.7614,0.8670991100265403
diq,es,0.45,0.6248808968808969
de,es,0.5554,0.7715806164277759
fy,es,0.622,0.7940042039144207
bat-smg,es,0.5,0.6479639249639249
so,es,0.5,0.6001760461760461
pms,es,0.52,0.764242417713006
fur,es,0.48,0.5898584748584748
arc,es,0.08,0.2753939393939394
vec,es,0.56,0.7234618714618715
fi,es,0.5807,0.8166612669468475
fiu-vro,es,0.38,0.6318816608228374
fa,es,0.4846,0.8048930000924429
en,es,0.5207,0.7545013283250978
io,es,0.66,0.79138455988456
vls,es,0.49,0.7166792929292928
mk,es,0.549,0.7399340804190649
szl,es,0.51,0.6372063492063492
bar,es,0.65,0.7493730158730159
zh-min-nan,es,0.62,0.7140104617604618
sco,es,0.63,0.7682387057387058
as,es,0.58,0.6975064935064935
zea,es,0.51,0.7051346431346431
hi,es,0.629,0.7725772832430727
hak,es,0.33,0.4182392607392606
ckb,es,0.462,0.7112948384948385
pnb,es,0.54,0.6338953823953823
gn,es,0.43,0.6298968253968255
sd,es,0.27,0.5937909312909312
az,es,0.534,0.761743724842409
wuu,es,0.2,0.5265793650793651
ur,es,0.564,0.7322550878516049
kk,es,0.466,0.7462585026085026
mwl,es,0.31,0.5458959651459651
nn,es,0.592,0.7994566622232256
mt,es,0.66,0.7814622044622044
he,es,0.4326,0.7072232424670273
cdo,es,0.21,0.3552602169072756
hu,es,0.6203,0.8165570029110895
csb,es,0.37,0.6209194139194139
mhr,es,0.55,0.6955476190476191
br,es,0.434,0.641543327733498
bg,es,0.6399,0.8015171682076094
kn,es,0.48,0.6706190476190477
an,es,0.778,0.8763904244448363
xmf,es,0.41,0.6408554223554224
nap,es,0.6,0.6921870351870351
lt,es,0.6598,0.8242918739318816
os,es,0.42,0.7160792540792541
frr,es,0.52,0.6117380952380952
km,es,0.24,0.4350225885225884
ceb,es,0.63,0.7366854909796087
ln,es,0.37,0.5490773050478933
or,es,0.05,0.4193220390720389
rw,es,0.59,0.7057813852813853
gan,es,0.27,0.5612222222222222
dv,es,0.25,0.5365570050864168
ml,es,0.511,0.7217655960310759
vep,es,0.54,0.7754698926804189
mn,et,0.61,0.7957712483594839
mzn,et,0.52,0.7793405483405483
ko,et,0.4484,0.6932310285320115
qu,et,0.62,0.6990737693678871
th,et,0.0105,0.2578664005198448
my,et,0.35,0.6826519036519036
rw,et,0.63,0.7410346320346319
map-bms,et,0.5,0.633968253968254
te,et,0.552,0.7374635642135642
fo,et,0.69,0.8344435107376285
sco,et,0.63,0.7993333333333333
scn,et,0.56,0.7187110667110668
ur,et,0.535,0.7506592102342101
ml,et,0.631,0.774252550373603
nn,et,0.72,0.8473498209307032
pa,et,0.5,0.6882567856979622
uk,et,0.6363,0.8331706704982323
li,et,0.6,0.7403511586452765
vo,et,0.59,0.59
gn,et,0.42,0.5652063492063492
ky,et,0.56,0.7453333333333333
jbo,et,0.47,0.5586385281385282
bn,et,0.635,0.731235746056489
ceb,et,0.51,0.6524812687312687
zh-classical,et,0.16,0.4937930402930402
as,et,0.52,0.7146921966921965
yi,et,0.48,0.7098145743145743
als,et,0.42,0.759806760490971
he,et,0.4607,0.7259204390372269
zea,et,0.55,0.7730000000000001
az,et,0.627,0.8133653264863789
ace,et,0.29,0.5574733044733045
hak,et,0.31,0.3941385281385281
kk,et,0.542,0.7906610583860584
gd,et,0.51,0.6086073926073926
bo,et,0.17,0.2703333333333333
mk,et,0.718,0.8261187869148395
la,et,0.619,0.7379137806637807
wa,et,0.42,0.5829813258636788
ja,et,0.1624,0.523505428137394
bg,et,0.6912,0.8243578222233562
pl,et,0.6991,0.8484501599810578
cdo,et,0.23,0.3688744588744588
vi,et,0.5563,0.790162189429078
lb,et,0.61,0.7801049417558706
cbk-zam,et,0.33,0.6958733488733487
vec,et,0.66,0.7837642591326802
sw,et,0.501,0.6690685358587062
os,et,0.57,0.752170274170274
lmo,et,0.5,0.7850770165507006
arz,et,0.5,0.7713076368076368
eml,et,0.39,0.5394831932773109
ln,et,0.43,0.6020735930735931
af,et,0.64,0.8068017521522165
el,et,0.7003,0.8236844605600796
frr,et,0.54,0.6210476190476191
or,et,0.18,0.5073545898545898
be,et,0.703,0.8351176173499703
szl,et,0.59,0.687961038961039
diq,et,0.54,0.7005873015873015
gu,et,0.6,0.7893314659197012
an,et,0.697,0.7909644365438483
am,et,0.39,0.4956587301587302
ug,et,0.39,0.5221139971139972
csb,et,0.5,0.7201513029454206
ang,et,0.47,0.619023486317604
da,et,0.7427,0.873580907474019
nap,et,0.55,0.6751858239799416
nds,et,0.58,0.8104711399711401
fi,et,0.7149,0.8645341956804805
bh,et,0.58,0.7054033189033189
lt,et,0.7368,0.8665883053178332
rm,et,0.53,0.7467062382062382
mwl,et,0.3,0.6332319347319348
tl,et,0.607,0.7241797584768174
gan,et,0.25,0.5637222222222222
lij,et,0.37,0.5631202131202131
sd,et,0.4,0.7232330447330447
mr,et,0.639,0.801135455394279
ar,et,0.5293,0.7352236194868083
io,et,0.71,0.8137448107448109
fiu-vro,et,0.53,0.7393102453102451
si,et,0.49,0.6565223665223665
ast,et,0.752,0.8470067926397649
hi,et,0.671,0.7962705970500089
su,et,0.45,0.6673757908757909
zh-yue,et,0.3083,0.6217885416252135
hr,et,0.6689,0.8360458417717475
dv,et,0.32,0.5232954822954823
ga,et,0.59,0.756837119717228
ilo,et,0.59,0.7061274836274837
ne,et,0.59,0.8296494779730074
cs,et,0.6991,0.8506168247456019
zh-min-nan,et,0.54,0.6658264250369514
kn,et,0.59,0.7652380952380952
no,et,0.7093,0.852266612857387
eo,et,0.6618,0.8013399714784698
jv,et,0.56,0.7774022644022645
mt,et,0.58,0.8062904317904318
nov,et,0.8,0.9050835830835832
yo,et,0.4,0.5417318792318793
de,et,0.6495,0.8172351617543103
ms,et,0.47,0.609624695995439
ext,et,0.41,0.5656057276057276
sq,et,0.751,0.8764486846486846
co,et,0.6,0.674888888888889
pnb,et,0.52,0.6457875457875458
ba,et,0.67,0.7849343434343433
tg,et,0.66,0.8022222222222223
br,et,0.534,0.6687187736755847
pdc,et,0.43,0.6023571428571429
cy,et,0.533,0.7643136728338741
ta,et,0.518,0.7318781842340666
ce,et,0.54,0.7831879786879787
tr,et,0.6884,0.8283327397104102
fy,et,0.708,0.8390027296233179
ig,et,0.49,0.6062337662337662
ca,et,0.7534,0.8610745904851941
sv,et,0.6575,0.8730982617382619
ay,et,0.4,0.464079254079254
km,et,0.36,0.5631269841269841
sah,et,0.6,0.7304212454212454
vep,et,0.68,0.8773417791358967
mhr,et,0.58,0.69947113997114
id,et,0.4645,0.6714695814711604
sl,et,0.685,0.8114455461918542
simple,et,0.7,0.8391864119540591
tt,et,0.655,0.8335663849222674
wuu,et,0.24,0.5479444444444445
ru,et,0.6773,0.811483608904855
sh,et,0.5267,0.761897457346575
war,et,0.59,0.7233534243534243
is,et,0.718,0.8488248261542379
fur,et,0.48,0.6142417027417028
fr,et,0.6697,0.8044538465060911
hu,et,0.7114,0.862512631146803
nl,et,0.7201,0.8527002717457981
bs,et,0.642,0.8419150418724722
hy,et,0.391,0.6672907269201387
be-x-old,et,0.669,0.7882036714317674
ka,et,0.6631,0.8157488600597889
pms,et,0.59,0.7975312742812742
bat-smg,et,0.64,0.7841587301587303
et,et,0.8472,0.9274674041636036
vls,et,0.67,0.8281420246420248
ro,et,0.6523,0.8085948733842697
ia,et,0.46,0.6932768440709617
ckb,et,0.569,0.6825460927960928
min,et,0.28,0.6115137085137085
cv,et,0.57,0.7628411588411588
xmf,et,0.58,0.7230445665445667
zh,et,0.2639,0.633341522332157
gl,et,0.7514,0.8509707348740012
tk,et,0.58,0.7147972582972583
en,et,0.5552,0.7663326151256724
sa,et,0.31,0.5140959595959594
oc,et,0.71,0.7988697968697969
lv,et,0.6987,0.834667552009394
eu,et,0.5391,0.8085941751549104
fa,et,0.4678,0.7589281866757254
ps,et,0.51,0.6983625818625818
sr,et,0.6034,0.7963010451141567
uz,et,0.764,0.8649240148740148
bar,et,0.64,0.7528809523809522
arc,et,0.02,0.2129047619047619
sk,et,0.722,0.860375951513227
crh,et,0.4,0.6278354978354979
ksh,et,0.33,0.5965546218487394
mg,et,0.33,0.6157251082251083
it,et,0.6888,0.8417133390586022
hsb,et,0.68,0.8327667430608606
mi,et,0.25,0.6655119047619046
pt,et,0.6764,0.8115371041780717
es,et,0.6783,0.8177041518466054
ku,et,0.62,0.759095238095238
so,et,0.58,0.6850952380952381
crh,eu,0.39,0.5810235320235321
csb,eu,0.48,0.7047515262515262
jbo,eu,0.45,0.6109859943977591
vec,eu,0.59,0.7499235209235209
fa,eu,0.4839,0.7622099476375018
az,eu,0.632,0.7974185342435341
la,eu,0.668,0.7538146262234497
fiu-vro,eu,0.47,0.669089799089799
mzn,eu,0.43,0.7300878010878012
ug,eu,0.39,0.4978253968253968
pnb,eu,0.58,0.6833571428571428
pms,eu,0.57,0.7699923702028966
ms,eu,0.603,0.7075901887757925
el,eu,0.6485,0.7992757318103293
sah,eu,0.48,0.5916947496947497
cs,eu,0.6441,0.8165647567198883
lmo,eu,0.35,0.6374178555362766
es,eu,0.729,0.8463207140331288
arc,eu,0.05,0.2084285714285714
hi,eu,0.675,0.7846093711843711
hu,eu,0.6727,0.8390767858534655
id,eu,0.5493,0.6950828368260566
bg,eu,0.6428,0.7915332717927068
map-bms,eu,0.54,0.662547619047619
it,eu,0.6595,0.8262732754698003
tk,eu,0.6,0.718857142857143
be-x-old,eu,0.571,0.7307137221653475
ca,eu,0.7508,0.8616863812245545
ig,eu,0.48,0.609995670995671
sl,eu,0.6325,0.7675689950168509
su,eu,0.59,0.7520879120879121
ur,eu,0.561,0.7005282772782773
mhr,eu,0.55,0.7079224664224664
lb,eu,0.519,0.7324448192760112
sa,eu,0.33,0.5293650793650794
hsb,eu,0.63,0.8030542790542791
ang,eu,0.44,0.5867914862914863
ace,eu,0.35,0.5777489177489178
li,eu,0.61,0.7420829725829725
sr,eu,0.5485,0.7721384958634416
lv,eu,0.6704,0.8107562869715423
mwl,eu,0.33,0.6175250305250305
fur,eu,0.41,0.5829847374847374
szl,eu,0.6,0.6808730158730159
ga,eu,0.665,0.8216493225642607
is,eu,0.602,0.7867627261627261
sq,eu,0.765,0.8666032765651961
pdc,eu,0.32,0.5373291708291709
diq,eu,0.58,0.7284365079365079
kk,eu,0.574,0.7784721050191638
fi,eu,0.6692,0.8319278732756751
af,eu,0.572,0.7645164335148855
ba,eu,0.58,0.8012099567099569
uk,eu,0.6112,0.8098418175744104
bh,eu,0.58,0.6883253968253967
dv,eu,0.34,0.5021616161616161
yi,eu,0.4,0.6845766455766455
ps,eu,0.41,0.6110879675879676
zh,eu,0.2813,0.6085760605218655
an,eu,0.808,0.8646727870083133
ko,eu,0.4283,0.6631471735857881
ext,eu,0.38,0.5468229548229548
ilo,eu,0.61,0.7058084985190249
jv,eu,0.55,0.7652942612942613
km,eu,0.22,0.4924999999999999
rm,eu,0.5,0.7269262126762128
de,eu,0.5579,0.7621412725999491
gu,eu,0.56,0.766197136197136
sw,eu,0.544,0.6756071441028871
ky,eu,0.52,0.7128051948051948
fr,eu,0.6973,0.8405338961580215
he,eu,0.4389,0.6964626884295614
si,eu,0.6,0.745833943833944
min,eu,0.34,0.6277128427128428
tg,eu,0.54,0.7467780291603822
vls,eu,0.52,0.7398563103563105
ia,eu,0.39,0.6442917550285973
da,eu,0.6596,0.8187461038840761
br,eu,0.52,0.6618897176353059
io,eu,0.73,0.8432240896358542
ast,eu,0.691,0.8241081209725947
ceb,eu,0.57,0.7019493107511684
mi,eu,0.29,0.5854023199023198
te,eu,0.542,0.7173710816960818
mr,eu,0.619,0.7773904290154291
th,eu,0.0185,0.2661915423937946
gl,eu,0.7503,0.8528534424493635
ckb,eu,0.538,0.6490250249750251
eml,eu,0.38,0.5207218892218892
en,eu,0.5146,0.7316443157719473
ksh,eu,0.35,0.6108337130705551
mk,eu,0.568,0.7521457824081664
ln,eu,0.41,0.5901031746031746
rw,eu,0.61,0.7137331002331002
sk,eu,0.6838,0.8442462622602716
cbk-zam,eu,0.32,0.6491096126096125
nov,eu,0.63,0.8613335830835831
gd,eu,0.6,0.6771616161616162
ro,eu,0.6922,0.8371480931924973
cv,eu,0.63,0.8197710622710623
tr,eu,0.715,0.836211508635843
mt,eu,0.66,0.8000391275391274
bar,eu,0.69,0.7810238095238096
mg,eu,0.37,0.6405909090909091
vep,eu,0.58,0.8018642303688744
bn,eu,0.649,0.7276433347354401
ar,eu,0.4775,0.6927980257865629
zh-yue,eu,0.3339,0.6086859863536876
ta,eu,0.491,0.7082229482763538
mn,eu,0.65,0.775901653901654
sco,eu,0.67,0.7823443223443225
als,eu,0.43,0.7318073812152758
ce,eu,0.37,0.7614412254412254
vi,eu,0.5505,0.7534992733161232
ru,eu,0.6031,0.7726469236834717
